Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
0,Real Estate Matters: Heir seeks clarity on possible taxes owed for sale of inherited property,0.023698758057435,Is there any way we can minimize the taxes I’ll have to pay on the sale of the house I inherited?,0.0681934274907689,Ilyce Glink and Samuel J. Tamkin,0.0123854193952865,4
1,Three men charged following Midlothian liquor store robbery,-0.1039025670615956,"Three men face several felonies following an armed robbery at a liquor store in south suburban Midlothian, according to authorities.",0.0439052243600599,Rebecca Johnson,0.0643728439463302,3
2,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,-0.0291426499607041,"World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.",0.0581470914476085,Sarah Mcfarlane,0.0905620853009168,0
3,"Police investigating 3-hour Thanksgiving armed robbery spree on West, Southwest Sides",-0.080761584395077,"In each of the dozen robberies, two to four men approached victims with guns, according to Chicago police.",0.0550619569330592,Adriana Pérez,0.0530083581688813,3
4,"Giant floats return, drawing thousands to 89th Thanksgiving Parade in Loop",-0.0379782477011758,"The Thanksgiving Day tradition returned downtown, attracting plenty of local and out-of-town spectators.",0.0358075632248073,Alice Yin,0.061210873624077,3
5,"Jordan Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions",-0.0679243469057837,"Jordan Love set the tone with a 53-yard pass to Christian Watson on the first snap and finished with a career-high-tying three touchdowns, leading the Green Bay Packers to a 29-22 win over the NFC North-leading Detroit Lions on Thursday.",0.0841244261355314,Larry Lage,0.0580338055151514,3
6,Nikki Haley’s Medicare Advantage,-0.0433890760177746,A new study shows insurer competition reduces costs.,0.0761904247920028,The Editorial Board,0.0803223751554469,0
7,Chicago Blackhawks’ Taylor Hall is expected to miss the rest of the season with a right knee injury,-0.1019281378976302,"Chicago Blackhawks forward Taylor Hall will have right knee surgery, likely sidelining the 2018 NHL MVP for the rest of the season.",0.1229864690685644,Associated Press Staff,0.049407855127356,4
8,The 89th annual Chicago Thanksgiving Parade,-0.098782590299379,"The 89th annual Chicago Thanksgiving Parade was held on Nov. 23, 2023, on State Street, running from Ida B. Wells Drive to Randolph Street in Chicago. The parade featured giant balloons, marching bands, performers and a visit from Santa Claus.",0.1049116931681055,Antonio Perez,0.147460874490207,0
9,Cops warn businesses of overnight burglaries on 47th Street in Kenwood neighborhood,-0.0322388458298519,"The burglaries happened shortly after 5:15 a.m. Thursday in the 1300 and 1400 blocks of East 47th Street, police said.",0.0414883638441097,Deanese Williams-Harris,0.0015510644298046,1
10,"Norovirus outbreak investigation linked to $1 burrito event underway in Evanston, health department confirms",-0.0946944289389648,A confirmed norovirus outbreak investigation is underway at the Evanston Health and Human Services Department and Northwestern University after students got sick from a $1 burrito event.,0.1003405064839171,Rebecca Johnson,-0.0061511340318247,4
