,Original Title Text,Normalized Title,Original Description Text,Normalized Description,Original Author Text,Normalized Author
0,Real Estate Matters: Heir seeks clarity on possible taxes owed for sale of inherited property,"['real', 'estat', 'matter', 'heir', 'seek', 'clariti', 'possibl', 'tax', 'owe', 'sale', 'inherit', 'properti']",Is there any way we can minimize the taxes I’ll have to pay on the sale of the house I inherited?,"['way', 'minim', 'tax', 'pay', 'sale', 'hous', 'inherit']",Ilyce Glink and Samuel J. Tamkin,"['ilyc', 'glink', 'samuel', 'tamkin']"
1,Three men charged following Midlothian liquor store robbery,"['three', 'men', 'charg', 'follow', 'midlothian', 'liquor', 'store', 'robberi']","Three men face several felonies following an armed robbery at a liquor store in south suburban Midlothian, according to authorities.","['three', 'men', 'face', 'sever', 'feloni', 'follow', 'arm', 'robberi', 'liquor', 'store', 'south', 'suburban', 'midlothian', 'accord', 'author']",Rebecca Johnson,"['rebecca', 'johnson']"
2,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,"['explain', 'global', 'fossil', 'fuel', 'subsidi', 'rise', 'despit', 'call']","World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.","['world', 'govern', 'agre', 'cop26', 'climat', 'summit', 'glasgow', 'two', 'year', 'ago', 'phase', 'ineffici', 'fossil', 'fuel', 'subsidi', 'help', 'fight', 'global', 'warm']",Sarah Mcfarlane,"['sarah', 'mcfarlan']"
3,"Police investigating 3-hour Thanksgiving armed robbery spree on West, Southwest Sides","['polic', 'investig', 'thanksgiv', 'arm', 'robberi', 'spree', 'west', 'southwest', 'side']","In each of the dozen robberies, two to four men approached victims with guns, according to Chicago police.","['dozen', 'robberi', 'two', 'four', 'men', 'approach', 'victim', 'gun', 'accord', 'chicago', 'polic']",Adriana Pérez,"['adriana', 'pérez']"
4,"Giant floats return, drawing thousands to 89th Thanksgiving Parade in Loop","['giant', 'float', 'return', 'draw', 'thousand', '89th', 'thanksgiv', 'parad', 'loop']","The Thanksgiving Day tradition returned downtown, attracting plenty of local and out-of-town spectators.","['thanksgiv', 'day', 'tradit', 'return', 'downtown', 'attract', 'plenti', 'local', 'spectat']",Alice Yin,"['alic', 'yin']"
5,"Jordan Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions","['jordan', 'love', 'tie', 'career', 'high', '3', 'td', 'pas', 'lead', 'packer', 'win', 'nfc', 'lion']","Jordan Love set the tone with a 53-yard pass to Christian Watson on the first snap and finished with a career-high-tying three touchdowns, leading the Green Bay Packers to a 29-22 win over the NFC North-leading Detroit Lions on Thursday.","['jordan', 'love', 'set', 'tone', 'pas', 'christian', 'watson', 'first', 'snap', 'finish', 'three', 'touchdown', 'lead', 'green', 'bay', 'packer', 'win', 'nfc', 'detroit', 'lion', 'thursday']",Larry Lage,"['larri', 'lage']"
6,Nikki Haley’s Medicare Advantage,"['nikki', 'haley', 'medicar', 'advantag']",A new study shows insurer competition reduces costs.,"['new', 'studi', 'show', 'insur', 'competit', 'reduc', 'cost']",The Editorial Board,"['editori', 'board']"
7,Chicago Blackhawks’ Taylor Hall is expected to miss the rest of the season with a right knee injury,"['chicago', 'blackhawk', 'taylor', 'hall', 'expect', 'miss', 'rest', 'season', 'right', 'knee', 'injuri']","Chicago Blackhawks forward Taylor Hall will have right knee surgery, likely sidelining the 2018 NHL MVP for the rest of the season.","['chicago', 'blackhawk', 'forward', 'taylor', 'hall', 'right', 'knee', 'surgeri', 'like', 'sidelin', '2018', 'nhl', 'mvp', 'rest', 'season']",Associated Press Staff,"['associ', 'press', 'staff']"
8,The 89th annual Chicago Thanksgiving Parade,"['89th', 'annual', 'chicago', 'thanksgiv', 'parad']","The 89th annual Chicago Thanksgiving Parade was held on Nov. 23, 2023, on State Street, running from Ida B. Wells Drive to Randolph Street in Chicago. The parade featured giant balloons, marching bands, performers and a visit from Santa Claus.","['89th', 'annual', 'chicago', 'thanksgiv', 'parad', 'held', '23', '2023', 'state', 'street', 'run', 'ida', 'b', 'well', 'drive', 'randolph', 'street', 'chicago', 'parad', 'featur', 'giant', 'balloon', 'march', 'band', 'perform', 'visit', 'santa', 'clau']",Antonio Perez,"['antonio', 'perez']"
9,Cops warn businesses of overnight burglaries on 47th Street in Kenwood neighborhood,"['cop', 'warn', 'busi', 'overnight', 'burglari', '47th', 'street', 'kenwood', 'neighborhood']","The burglaries happened shortly after 5:15 a.m. Thursday in the 1300 and 1400 blocks of East 47th Street, police said.","['burglari', 'happen', 'shortli', 'thursday', '1300', '1400', 'block', 'east', '47th', 'street', 'polic', 'said']",Deanese Williams-Harris,['deanes']
