Row Number,Publisher,Title,Author,Description,URL,Published At
1,Chicago Tribune,"‘Home for the holidays’: Court vacates convictions for cousins in 1981 double homicide, Illinois’ longest-serving exonerees",Madeline Buckley,"Cases against James Soto, and his cousin, David Ayala were dismissed Thursday and they will talk free after more than 40 years",https://www.chicagotribune.com/news/criminal-justice/ct-cook-county-longest-serving-wrongful-conviction-20231214-rb7uqgoa5ff4fagw3i2aqtgxhm-story.html,2023-12-14T22:50:52Z
2,Chicago Tribune,How Erick Fedde expanded his pitch arsenal in Korea to get back to the big leagues with the Chicago White Sox,LaMond Pope,"Erick Fedde, who signed a two-year, $15 million deal with the Chicago White Sox on Wednesday, discussed his journey from the KBO back to the big leagues.",https://www.chicagotribune.com/sports/white-sox/ct-chicago-white-sox-erick-fedde-20231214-kmm6asoyyjc6ffjkta3vawn4li-story.html,2023-12-14T22:41:27Z
3,Chicago Tribune,‘The Crown’s’ Ed McVey discusses playing Prince William in his heartthrob era,K.J. Yossman,"The royal hysteria that gripped the late ‘90s and early 2000s is recreated in the sixth and final season of “The Crown” in an episode titled “Willsmania,” in which the bewildered teenager, still reeling from the loss of his mother Princess Diana, suddenly fin…",https://www.chicagotribune.com/entertainment/tv/the-crown-ed-mcvey-prince-william-20231214-s3vxzzkuv5fbpde4od66lv7x7e-story.html,2023-12-14T22:24:52Z
4,Chicago Tribune,Real Estate Matters: Homeowner’s mortgage company uses escrow balance for final mortgage payment,Ilyce Glink and Samuel Tamkin,Is it normal practice for mortgage companies to use escrow amounts to make the final mortgage payment (and not inform their customers they are doing it)?,https://www.chicagotribune.com/real-estate/ct-real-estate-matters-mortgage-company-escrow-balance-20231214-wwl76bf4kzcb7ndu2i7bhyzrau-story.html,2023-12-14T22:12:24Z
5,Chicago Tribune,Illinois regulators reject record rate increase requests from ComEd and Peoples Gas,Robert Channick,"Both decisions will hold down rate increases for Chicago-area gas and electric customers entering 2024, while putting more pressure on the utilities to justify infrastructure improvements going forward.",https://www.chicagotribune.com/business/ct-biz-icc-comed-peoples-gas-rate-hike-requests-20231214-qrkhxdnr5veirkzl7tpqg7se2q-story.html,2023-12-14T22:02:18Z
6,Chicago Tribune,Remains of ship found in Lake Michigan,Chicago Tribune,"Archaeologists believe the ship may be the 122-foot-long George L. Newman. The ship was hauling lumber from Little Suamico on the evening of Oct. 8, 1871, when it became enveloped in thick smoke from the Peshtigo Fire and ran aground on the southeast point of…",https://www.chicagotribune.com/history/peshtigo-fire-20231214-yfzl7iqgtzc6dltauqqbghl7ry-story.html,2023-12-14T21:46:07Z
7,Chicago Tribune,Cook County mandates last-minute paid leave expansion,A.D. Quig,"The changes replicate and slightly expand on the Jan. 1 state law, which will require most employers to provide up to 40 hours of paid leave per year.",https://www.chicagotribune.com/suburbs/ct-cook-county-paid-leave-expansion-suburbs-20231214-zmnkl7zcabb4bo53yq2f3exxha-story.html,2023-12-14T21:34:24Z
8,Chicago Tribune,Mayoral challenge accepted: Friendly bet going on whether Naperville’s NCC will take third NCAA title Friday,Tess Kenny,"Naperville Mayor Scott Wehrli and Cortland, NY Mayor Scott Steve have placed a friendly bet going into Friday night’s Amos Alonzo Stagg Bowl.",https://www.chicagotribune.com/suburbs/naperville-sun/ct-nvs-naperville-amos-stagg-bowl-mayor-challenge-st-1215-20231214-ybxzzmwjbnb3bffujhqpw24y2m-story.html,2023-12-14T20:56:00Z
9,Chicago Tribune,"West Dundee expects to complete purchase of Spring Hill Mall by February, village president says",Mike Danahey,"If all goes as planned, the village of West Dundee will own almost all of Spring Hill Mall before winter’s end, Village President Chris Nelson said.",https://www.chicagotribune.com/business/ct-ecn-spring-hill-mall8-update-st-1215-20231214-hhvqt6hf7vgixa6guk5zauhwqu-story.html,2023-12-14T20:30:15Z
10,Chicago Tribune,"The Rev. George Lane, priest who helped save historic West Side church, dies at 89",Bob Goldsborough,"The Rev. George A. Lane, who played a leading role in saving Chicago’s second-oldest church from demolition in the early 1990s, has died.",https://www.chicagotribune.com/news/obituaries/ct-george-lane-obituary-20231214-jv2xznmjwndv3i46ikwxjljite-story.html,2023-12-14T20:30:13Z
11,Chicago Tribune,Actor Andre Braugher’s cause of death revealed,Zach Mentz,Emmy Award-winning actor Andre Braugher’s cause of death has been revealed just days after his death on Dec. 11 at age 61.,https://www.chicagotribune.com/entertainment/movies/andre-braugher-cause-death-20231214-366tlucy3rdptcvbgtd72c5e3q-story.html,2023-12-14T20:27:43Z
12,Chicago Tribune,Afternoon Briefing: Prosecutors try to use Burke’s words against him in closing argument,Chicago Tribune staff,"Good afternoon, Chicago. Here's what is happening today.",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-dec14-20231214-ktaedfgs7fc6vdmg5uqlbdl24y-story.html,2023-12-14T19:53:32Z
13,Chicago Tribune,University of Illinois foundation pays $1.32M for combined condo unit in Chicago’s Harbor Point building,Bob Goldsborough,The University of Illinois Foundation now owns three separate residential properties in Chicago.,https://www.chicagotribune.com/real-estate/elite-street/ct-re-elite-street-university-illinois-harbor-point-condo-20231214-lcnufwuucndvtnanzuus3n4n3u-story.html,2023-12-14T19:32:18Z
14,Chicago Tribune,Residents want Wilmette to sue Evanston over Ryan Field rezoning,Alex Hulvalchick,"“Evanston and Northwestern have backed Wilmette into a corner,” a resident said. “The good news is that Wilmette is uniquely positioned to fight its way out.”",https://www.chicagotribune.com/suburbs/wilmette/ct-wlm-ryan-field-potential-lawsuit-tl-1221-20231214-75khv2h375aphpsgctaekcncz4-story.html,2023-12-14T19:10:08Z
15,Chicago Tribune,Chesterbrook Academy preschool closing one of its two Naperville locations after 25 years,Tess Kenny,"After 25 years of serving southwest suburban communities, Chesterbrook Academy on South Naper Boulevard is shutting down. School officials say low enrollment is to blame.",https://www.chicagotribune.com/suburbs/naperville-sun/ct-nvs-naperville-preschool-closed-low-enrollment-st-1215-20231214-vjtqp5ueobdklkefetgv4pcdwq-story.html,2023-12-14T19:06:31Z
16,Chicago Tribune,Aldermen block plan to put sanctuary city question to voters,Alice Yin,"Aldermen blocked a measure Thursday to place a symbolic question on the March primary ballot asking voters whether to end Chicago’s status as a sanctuary city, the likely end to a monthslong saga driven by opponents of Mayor Brandon Johnson seeking to take a …",https://www.chicagotribune.com/politics/ct-city-council-sanctuary-city-20231214-njlw74smhnhoxlqs2j33fcqojm-story.html,2023-12-14T18:43:41Z
17,Chicago Tribune,Elgin teen charged with DUI/drugs in crash that killed her sister and another South Elgin High School student,Courier-News Staff,Kane County prosecutors say the Elgin teen behind the wheel in a Bartlett crash that killed her sister and another South Elgin High School student did not have a valid license and was driving under the influence of drugs.,https://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-elgin-student-charged-fatal-crash-dui-st-1215-20231214-gbsvxr673rdi5k2sqzrpurpabe-story.html,2023-12-14T18:40:50Z
18,Chicago Tribune,Does trading Zach LaVine to the Los Angeles Lakers make sense? Chicago Bulls prepare for NBA trade window to open.,Julia Poe,Zach LaVine’s departure already has taken on a tone of inevitability in Chicago. Bulls fans are less focused on the “if” than the “when” and “where.”,https://www.chicagotribune.com/sports/bulls/ct-chicago-bulls-zach-lavine-trade-20231214-g2nhgczjcbgqjkbp6pn5zjqey4-story.html,2023-12-14T17:44:32Z
19,Chicago Tribune,Review: Doja Cat wraps up her Scarlet Tour in Chicago — a new artist with a veteran’s confidence,Bob Gendron,"To her credit, Doja Cat has made the transition from TikTok star to arena headliner with the same kind of bravado that inform her posts.",https://www.chicagotribune.com/entertainment/music/ct-ent-doja-cat-chicago-review-20231214-gtk3fnoo4jaynk4xm73f4gwjbe-story.html,2023-12-14T17:30:42Z
20,Chicago Tribune,"Like the flip of a switch, Corinne Reed goes fast to spark St. Charles East’s turnaround. ‘She can do it all.’",Paul Johnson,"Heading into Wednesday’s 43-36 win at West Aurora, Corinne Reed’s 11.7 points, 6.7 rebounds, 2.7 assists and 0.7 blocked shots led the Saints.",https://www.chicagotribune.com/suburbs/aurora-beacon-news/sports/ct-abn-gbk-stce-reed-st-1215-20231214-nvdlpoet4bellgxt6w7s4r2fbi-story.html,2023-12-14T17:29:24Z
21,Chicago Tribune,Ohio State’s Marvin Harrison Jr. is the 2023 winner of the Chicago Tribune Silver Football as the Big Ten’s best player,Joel Boyd,Marvin Harrison Jr. is the 23rd Ohio State player — tops among Big Ten schools — to win the Chicago Tribune Silver Football in the award’s 99-year history.,https://www.chicagotribune.com/sports/college/ct-marvin-harrison-jr-chicago-tribune-silver-football-20231214-qydhlg3ae5gyfknpydupd5kdki-story.html,2023-12-14T17:00:00Z
22,Chicago Tribune,Steve Reaven’s boys basketball rankings and player of the week for Lake County,Steve Reaven,Nehemiah Dunn helps Waukegan get back into the top 10 as Warren tightens its grip on No. 1.,https://www.chicagotribune.com/suburbs/lake-county-news-sun/sports/ct-lns-bbk-rankings-st-1215-20231214-w7gvpzwrnjanfci6ctwrajkjva-story.html,2023-12-14T16:54:31Z
23,The Wall Street Journal,What Walmart Did to Make Stores Autism-Friendly,Tali Arbel,Companies create calm spaces for customers who can have sensory overload,https://www.wsj.com/business/retail/what-walmart-did-to-make-stores-autism-friendly-fd60435b,2023-12-14T16:43:45Z
24,Chicago Tribune,Gregg Voss’ Daily Southtown girls basketball rankings and player of the week,Gregg Voss,"Lincoln-Way East takes over top spot, while Mother McAuley and Bloom move into rankings. Marian Catholic’s Madison Davis is the player of the week.",https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-gbk-rankings-st-1215-20231214-7dzn5kay7vbt7pv7hbgs5f5b6m-story.html,2023-12-14T16:14:44Z
25,The Wall Street Journal,World in Disarray? Longtime Diplomat Says It's Worse Than That...,,"World in Disarray? Longtime Diplomat Says It's Worse Than That...

 
 
 
 (First column, 1st story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/world/world-disarray-diplomat-pessimistic-b2dad137,2023-12-14T16:04:37Z
26,Chicago Tribune,"George McGinnis, a Hall of Fame forward and 2-time ABA champion, dies at 73",Michael Marot,"George McGinnis, a Hall of Fame forward who was a two-time ABA champion and three-time All-Star in the NBA and ABA, died Thursday. He was 73.",https://www.chicagotribune.com/sports/breaking/ct-george-mcginnis-dies-nba-indiana-20231214-iz3zzzcafnemngq5qg4to5k6pq-story.html,2023-12-14T15:32:34Z
27,Chicago Tribune,Grayslake North’s Uros Mitrovic ‘found people pretty fast’ through basketball after moving to US. Success too.,Steve Reaven,"Uros Mitrovic, who was already fluent in English when he moved to the U.S. in spring 2022, was proficient in another language too.",https://www.chicagotribune.com/suburbs/lake-county-news-sun/sports/ct-lns-bbk-mitrovic-st-1215-20231214-jvwhiitvfbfslf2vurxeohngyy-story.html,2023-12-14T15:03:23Z
28,Chicago Tribune,Yannick Noah will captain France’s men’s wheelchair tennis team at Paralympic Games in Paris,Chicago Tribune,Yannick Noah has been appointed captain of France’s men’s wheelchair tennis team and will lead the squad at the Paris Paralympic Games next year.,https://www.chicagotribune.com/sports/olympics/ct-paris-olympics-yannick-noah-20231214-cxveow23ujft5cut4fut4skira-story.html,2023-12-14T14:23:29Z
29,Chicago Tribune,Lawyers for ex-Ald. Ed Burke will get chance to make case to the jury as closings at corruption trial continue,"Jason Meisner, Ray Long, Megan Crepeau",Prosecutors Thursday are expected to highlight former Ald. Ed Burke’s alleged attempts to shake down the developers leading the $600 million Old Post Office renovation,https://www.chicagotribune.com/news/criminal-justice/ct-ald-ed-burke-corruption-trial-day-22-closing-arguments-20231214-3cauo6ql7jcafodrsdksn7u6em-story.html,2023-12-14T13:22:28Z
30,Chicago Tribune,Naperville North’s Kendall Johnson is top scorer and captain in first season as starter: ‘She was a sponge’,Matt Le Cren,Naperville North senior Kendall Johnson spent most of the past two seasons rooted to the bench. But she wasn’t rotting away.,https://www.chicagotribune.com/suburbs/naperville-sun/sports/ct-nvs-gbk-johnson-st-1215-20231214-5w45nokd5nfk5dskki7xhyql6m-story.html,2023-12-14T13:06:17Z
31,The Wall Street Journal,"To Get Your Positive Review, Businesses Bully, Badger and Guilt-Trip...",wsj,"Companies appreciate your candid feedback, but oh, please do make it nice. ‘He kind of sat over our shoulder as we did it.’",https://www.wsj.com/business/online-reviews-positive-customers-pressured-to-leave-9efbade7,2023-12-14T13:00:03Z
