,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector
0,"‘Home for the holidays’: Court vacates convictions for cousins in 1981 double homicide, Illinois’ longest-serving exonerees",-0.01900451327674091,"Cases against James Soto, and his cousin, David Ayala were dismissed Thursday and they will talk free after more than 40 years",0.011652484310616273,Madeline Buckley,0.11946290283231065
1,How Erick Fedde expanded his pitch arsenal in Korea to get back to the big leagues with the Chicago White Sox,-0.06373171124141663,"Erick Fedde, who signed a two-year, $15 million deal with the Chicago White Sox on Wednesday, discussed his journey from the KBO back to the big leagues.",0.23761416226625443,LaMond Pope,0.19866680782433832
2,‘The Crown’s’ Ed McVey discusses playing Prince William in his heartthrob era,-0.07087203261107788,"The royal hysteria that gripped the late ‘90s and early 2000s is recreated in the sixth and final season of “The Crown” in an episode titled “Willsmania,” in which the bewildered teenager, still reeling from the loss of his mother Princess Diana, suddenly fin…",0.02773271367459529,K.J. Yossman,0.12154306238517165
3,Real Estate Matters: Homeowner’s mortgage company uses escrow balance for final mortgage payment,5.529215559363365e-05,Is it normal practice for mortgage companies to use escrow amounts to make the final mortgage payment (and not inform their customers they are doing it)?,0.07846044405596331,Ilyce Glink and Samuel Tamkin,0.055773404077626765
4,Illinois regulators reject record rate increase requests from ComEd and Peoples Gas,-0.0334657370694913,"Both decisions will hold down rate increases for Chicago-area gas and electric customers entering 2024, while putting more pressure on the utilities to justify infrastructure improvements going forward.",0.12283845219644718,Robert Channick,0.03292318223975599
5,Remains of ship found in Lake Michigan,-0.04395227303029969,"Archaeologists believe the ship may be the 122-foot-long George L. Newman. The ship was hauling lumber from Little Suamico on the evening of Oct. 8, 1871, when it became enveloped in thick smoke from the Peshtigo Fire and ran aground on the southeast point of…",0.0972102404339239,Chicago Tribune,0.10177914390806109
6,Cook County mandates last-minute paid leave expansion,-0.013639733981108293,"The changes replicate and slightly expand on the Jan. 1 state law, which will require most employers to provide up to 40 hours of paid leave per year.",0.1292200200368825,A.D. Quig,0.10630064134602435
7,Mayoral challenge accepted: Friendly bet going on whether Naperville’s NCC will take third NCAA title Friday,-0.07993470039218664,"Naperville Mayor Scott Wehrli and Cortland, NY Mayor Scott Steve have placed a friendly bet going into Friday night’s Amos Alonzo Stagg Bowl.",0.10589198034722358,Tess Kenny,0.14069223625119776
8,"West Dundee expects to complete purchase of Spring Hill Mall by February, village president says",-0.014990255614975467,"If all goes as planned, the village of West Dundee will own almost all of Spring Hill Mall before winter’s end, Village President Chris Nelson said.",0.0542063977336511,Mike Danahey,0.08765358832897618
9,"The Rev. George Lane, priest who helped save historic West Side church, dies at 89",-0.03396860674547497,"The Rev. George A. Lane, who played a leading role in saving Chicago’s second-oldest church from demolition in the early 1990s, has died.",0.14499368939141277,Bob Goldsborough,0.16546482383273542
10,Actor Andre Braugher’s cause of death revealed,-0.005282987025566399,Emmy Award-winning actor Andre Braugher’s cause of death has been revealed just days after his death on Dec. 11 at age 61.,0.059309294156264514,Zach Mentz,0.02550562022952363
11,Afternoon Briefing: Prosecutors try to use Burke’s words against him in closing argument,-0.0786099596589338,"Good afternoon, Chicago. Here's what is happening today.",0.07265596219804138,Chicago Tribune staff,0.07137576560489833
12,University of Illinois foundation pays $1.32M for combined condo unit in Chicago’s Harbor Point building,0.03472231252817437,The University of Illinois Foundation now owns three separate residential properties in Chicago.,0.07420590945457661,Bob Goldsborough,0.10773912102740724
13,Residents want Wilmette to sue Evanston over Ryan Field rezoning,-0.07138634951843414,"“Evanston and Northwestern have backed Wilmette into a corner,” a resident said. “The good news is that Wilmette is uniquely positioned to fight its way out.”",0.08592926437268034,Alex Hulvalchick,0.0633061925182119
14,Chesterbrook Academy preschool closing one of its two Naperville locations after 25 years,-0.021203606127528474,"After 25 years of serving southwest suburban communities, Chesterbrook Academy on South Naper Boulevard is shutting down. School officials say low enrollment is to blame.",0.16332826239522547,Tess Kenny,0.07746546197449788
