Row Number,Publisher,Title,Author,Description,URL,Published At
1,Chicago Tribune,Real Estate Matters: Heir seeks clarity on possible taxes owed for sale of inherited property,Ilyce Glink and Samuel J. Tamkin,Is there any way we can minimize the taxes I’ll have to pay on the sale of the house I inherited?,https://www.chicagotribune.com/real-estate/real-estate-matters-heir-clarity-possible-taxes-sale-inherited-property-20231123-tdwgq22uvrcnjcpnjwlohglro4-story.html,2023-11-23T23:46:01Z
2,Chicago Tribune,Three men charged following Midlothian liquor store robbery,Rebecca Johnson,"Three men face several felonies following an armed robbery at a liquor store in south suburban Midlothian, according to authorities.",https://www.chicagotribune.com/news/breaking/ct-charges-liquor-store-robbery-midlothian-20231123-3dtpuzuhubbydaqtwt3kdgxr6i-story.html,2023-11-23T23:38:12Z
3,Reuters,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,Sarah Mcfarlane,"World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.",https://www.reuters.com/business/environment/global-fossil-fuel-subsidies-rise-despite-calls-phase-out-2023-11-23/,2023-11-23T22:59:12Z
4,Chicago Tribune,"Police investigating 3-hour Thanksgiving armed robbery spree on West, Southwest Sides",Adriana Pérez,"In each of the dozen robberies, two to four men approached victims with guns, according to Chicago police.",https://www.chicagotribune.com/news/criminal-justice/ct-12-robberies-3-hoursthanksgiving-morning-20231123-fzkwnorjrffybc62gag37d5liu-story.html,2023-11-23T22:39:51Z
5,Chicago Tribune,"Giant floats return, drawing thousands to 89th Thanksgiving Parade in Loop",Alice Yin,"The Thanksgiving Day tradition returned downtown, attracting plenty of local and out-of-town spectators.",https://www.chicagotribune.com/politics/ct-thanksgiving-day-parade-chicago-20231123-mb43s2x24fa2njzme4fbqxjvd4-story.html,2023-11-23T22:34:51Z
6,Chicago Tribune,"Jordan Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions",Larry Lage,"Jordan Love set the tone with a 53-yard pass to Christian Watson on the first snap and finished with a career-high-tying three touchdowns, leading the Green Bay Packers to a 29-22 win over the NFC North-leading Detroit Lions on Thursday.",https://www.chicagotribune.com/sports/breaking/ct-packers-lions-20231123-dxkackn6b5ailh2seiwbbos7nq-story.html,2023-11-23T21:16:06Z
7,The Wall Street Journal,Nikki Haley’s Medicare Advantage,The Editorial Board,A new study shows insurer competition reduces costs.,https://www.wsj.com/articles/medicare-advantage-centers-for-medicare-and-medicaid-services-nikki-haley-healthcare-f527c74d,2023-11-23T21:16:00Z
8,Chicago Tribune,Chicago Blackhawks’ Taylor Hall is expected to miss the rest of the season with a right knee injury,Associated Press Staff,"Chicago Blackhawks forward Taylor Hall will have right knee surgery, likely sidelining the 2018 NHL MVP for the rest of the season.",https://www.chicagotribune.com/sports/blackhawks/ct-blackhawks-taylor-hall-injury-20231123-yyn32wzjkbbvbbzzke4jo2ufm4-story.html,2023-11-23T18:19:12Z
9,Chicago Tribune,The 89th annual Chicago Thanksgiving Parade,Antonio Perez,"The 89th annual Chicago Thanksgiving Parade was held on Nov. 23, 2023, on State Street, running from Ida B. Wells Drive to Randolph Street in Chicago. The parade featured giant balloons, marching bands, performers and a visit from Santa Claus.",https://www.chicagotribune.com/visuals/ct-viz-thanksgiving-day-parade-89th-chicago-photos-20231123-jkcqsr4uejckzi7vcqrwv53yq4-photogallery.html,2023-11-23T17:30:09Z
10,Chicago Tribune,Cops warn businesses of overnight burglaries on 47th Street in Kenwood neighborhood,Deanese Williams-Harris,"The burglaries happened shortly after 5:15 a.m. Thursday in the 1300 and 1400 blocks of East 47th Street, police said.",https://www.chicagotribune.com/news/breaking/ct-overnight-burglaries-warning-20231123-ef22qpmoefdadifyhoog6w5rzy-story.html,2023-11-23T17:02:54Z
