,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector
0,Real Estate Matters: Heir seeks clarity on possible taxes owed for sale of inherited property,0.023698758057435043,Is there any way we can minimize the taxes I’ll have to pay on the sale of the house I inherited?,0.06819342749076895,Ilyce Glink and Samuel J. Tamkin,0.01238541939528659
1,Three men charged following Midlothian liquor store robbery,-0.10390256706159562,"Three men face several felonies following an armed robbery at a liquor store in south suburban Midlothian, according to authorities.",0.04390522436005995,Rebecca Johnson,0.06437284394633025
2,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,-0.029142649960704148,"World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.",0.058147091447608545,Sarah Mcfarlane,0.0905620853009168
3,"Police investigating 3-hour Thanksgiving armed robbery spree on West, Southwest Sides",-0.08076158439507708,"In each of the dozen robberies, two to four men approached victims with guns, according to Chicago police.",0.055061956933059264,Adriana Pérez,0.053008358168881387
4,"Giant floats return, drawing thousands to 89th Thanksgiving Parade in Loop",-0.03797824770117586,"The Thanksgiving Day tradition returned downtown, attracting plenty of local and out-of-town spectators.",0.03580756322480738,Alice Yin,0.06121087362407707
5,"Jordan Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions",-0.06792434690578375,"Jordan Love set the tone with a 53-yard pass to Christian Watson on the first snap and finished with a career-high-tying three touchdowns, leading the Green Bay Packers to a 29-22 win over the NFC North-leading Detroit Lions on Thursday.",0.0841244261355314,Larry Lage,0.05803380551515147
6,Nikki Haley’s Medicare Advantage,-0.04338907601777464,A new study shows insurer competition reduces costs.,0.07619042479200289,The Editorial Board,0.08032237515544693
7,Chicago Blackhawks’ Taylor Hall is expected to miss the rest of the season with a right knee injury,-0.10192813789763022,"Chicago Blackhawks forward Taylor Hall will have right knee surgery, likely sidelining the 2018 NHL MVP for the rest of the season.",0.12298646906856447,Associated Press Staff,0.049407855127356015
8,The 89th annual Chicago Thanksgiving Parade,-0.09878259029937908,"The 89th annual Chicago Thanksgiving Parade was held on Nov. 23, 2023, on State Street, running from Ida B. Wells Drive to Randolph Street in Chicago. The parade featured giant balloons, marching bands, performers and a visit from Santa Claus.",0.10491169316810556,Antonio Perez,0.14746087449020706
9,Cops warn businesses of overnight burglaries on 47th Street in Kenwood neighborhood,-0.032238845829851925,"The burglaries happened shortly after 5:15 a.m. Thursday in the 1300 and 1400 blocks of East 47th Street, police said.",0.0414883638441097,Deanese Williams-Harris,0.0015510644298046827
10,"Norovirus outbreak investigation linked to $1 burrito event underway in Evanston, health department confirms",-0.09469442893896485,A confirmed norovirus outbreak investigation is underway at the Evanston Health and Human Services Department and Northwestern University after students got sick from a $1 burrito event.,0.10034050648391712,Rebecca Johnson,-0.006151134031824768
11,"Exclusive: Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source",-0.11832972028059885,"Barclays <a href=""https://www.reuters.com/markets/companies/BARC.L"" target=""_blank"">(BARC.L)</a> is working on plans to save as much as 1 billion pounds ($1.25 billion), which could involve cutting as many as 2,000 jobs, mainly in the British bank's back offi…",0.15317870280705392,Sinead Cruise,0.10126776818651706
12,"Man, 30, seriously wounded overnight in shooting on Far South Side, police say",0.0025652969488874078,"Shortly after 3:30 a.m. Thursday, the victim was walking in the 1400 block of West 112th Place when he heard shots and felt pain.",0.04733214080624748,Deanese Williams-Harris,0.00914648623438552
13,Thanksgiving forecast: Sunny conditions expected with highs in mid 40s,0.02503088806224696,Current morning conditions at Midway Airport is a few clouds at 40 degrees. At O’hare International Airport temperatures registered at 38 degrees.,0.08914588915649801,Deanese Williams-Harris,-0.013807991752400994
14,What does Sam Altman’s firing — and quick reinstatement — mean for the future of AI?,0.00010738935088738799,"If you’re just catching up on the OpenAI saga and what’s at stake for the artificial intelligence space as a whole, you’ve come to the right place. Here’s a rundown of what you need to know.",0.03124564113386441,Chicago Tribune,0.01667238237860147
